Year,January,February,March,April,May,June,July,August,September,October,November,December
1816,-1.8039999999999998,-3.437,2.9299999999999997,9.349,15.344999999999999,18.264000000000003,19.206000000000003,19.116999999999997,14.945,7.158999999999999,2.586,-2.097
1817,-2.933,0.717,4.3,9.845,14.148,17.752000000000002,19.469,20.177999999999997,13.469000000000001,7.878,3.4749999999999996,-3.7769999999999997
1818,-2.9339999999999997,-2.191,5.319,11.81,16.005,20.565,20.602,19.828999999999997,15.261000000000001,8.514,4.061999999999999,-1.379
1819,-3.4259999999999997,-1.111,1.9889999999999999,8.774000000000001,14.391,19.008000000000003,20.147000000000002,19.031,15.870000000000001,10.722999999999999,3.622,-2.189
1820,-4.452,-1.272,3.739,10.908,16.036,19.601000000000003,20.391000000000002,18.43,15.802000000000001,9.202,2.8339999999999996,-2.524
1821,-1.4549999999999998,0.485,4.566,9.489,15.828999999999999,18.868000000000002,20.044,19.578999999999997,14.766000000000002,10.113,4.531,-1.066
1822,-1.6979999999999997,1.341,7.0920000000000005,10.182,15.1,19.492,21.326,19.685,15.267000000000001,9.379,3.16,-2.826
1823,-2.7969999999999997,-1.197,4.353,9.487,15.113999999999999,20.349,21.299000000000003,19.624,14.787,9.026,2.8949999999999996,-1.429
1824,-1.8309999999999997,-0.438,4.559,10.023,15.523,19.803,21.901,19.892999999999997,16.232000000000003,9.793,4.542,1.331
1825,-1.2329999999999997,-0.055,4.607,10.886,15.306,20.188000000000002,21.1,19.741,15.702000000000002,9.625,4.975,-0.625
1826,-2.485,-1.628,4.447,10.203,16.406,19.556,21.669,19.613999999999997,15.675,10.009,5.1499999999999995,1.079
1827,-0.5989999999999998,0.618,5.43,11.271,16.394,19.996000000000002,21.84,20.159,15.445,10.110999999999999,4.83,-1.169
1828,-3.8979999999999997,-1.282,5.032,10.291,15.849,20.584,21.757,20.096,14.624000000000002,10.245999999999999,4.553,-0.74
1829,-2.4709999999999996,-1.531,4.151,9.494,15.899,19.269000000000002,21.546000000000003,19.863999999999997,15.14,10.261,3.328,-1.466
1830,-1.9539999999999997,0.795,3.767,10.542,14.780999999999999,19.238,22.096,19.869,14.936000000000002,9.623999999999999,6.29,0.6799999999999999
