"Name","Type","Latitude","Longitude","Oppstartsdato","ID"
"Bygdøy alle","Trafikkmålepunkt",59.91906,10.70078,42139,"?"
"Enebakkveien","Trafikkmålepunkt",59.88265,10.8212,42417,"?"
"Ensjøveien","Trafikkmålepunkt",59.91386,10.78901,41733,"?"
"Finnmarksgata","Trafikkmålepunkt",59.91802,10.77539,42240,"?"
"General Ruges vei","Trafikkmålepunkt",59.88286,10.84158,42341,"?"
"Hellerudveien","Trafikkmålepunkt",59.89535,10.8557,42341,"?"
"KV160 Vækerøveien ved Ullernchausseen ","Trafikkmålepunkt",59.92594,10.64118,41733,"?"
"KV168 Sørkedalsveien ved Borgen stasjon","Trafikkmålepunkt",59.93461,10.69557,41382,"?"
"Lambertseterveien","Trafikkmålepunkt",59.87924,10.82346,42470,"?"
"Maridalsveien","Trafikkmålepunkt",59.92328,10.75076,42240,"?"
"Nylandsveien","Trafikkmålepunkt",59.91429,10.75943,42139,"?"
"Plogveien","Trafikkmålepunkt",59.89201,10.82194,42417,"?"
"Ring 2 ved Frognerparken","Trafikkmålepunkt",59.92322,10.70603,41800,"?"
"Ring 2 ved Marienlyst","Trafikkmålepunkt",59.93286,10.72496,41615,"?"
"Ring 2 ved Vøyenbrua","Trafikkmålepunkt",59.93291,10.75866,41802,"?"
"Slemdalsveien","Trafikkmålepunkt",59.94766,10.70621,41872,"?"
"Sørkedalsveien ved Makrellbekken","Trafikkmålepunkt",59.94196,10.66956,42115,"?"
"Torggata Fotgjenger","Trafikkmålepunkt",59.9162,10.75178,41863,"?"
"Torggata Kjøretøy","Trafikkmålepunkt",59.9162,10.75178,42047,"?"
"Torggata Syklist","Trafikkmålepunkt",59.9162,10.75178,41877,"?"
"Tvetenveien ved Haugerud","Trafikkmålepunkt",59.92178,10.85466,42395,"?"
"Vekterveien 6","Trafikkmålepunkt",59.88915,10.81503,42517,"?"
"Østensjøveien 50 Brynseng","Trafikkmålepunkt",59.90907,10.81515,42433,"?"
